"COUNTRY","Country","SEX","Sex","AGE","Age","EMPSTAT","Employment status","JOBTYPE","Job type","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","FT","Full-time employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,40.2780717191001,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","FT","Full-time employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,40.2889567216161,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","FT","Full-time employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,40.3711241032262,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","FT","Full-time employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,40.2329541013671,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","FT","Full-time employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,39.9027162703818,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","PT","Part-time employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,13.5737763267589,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","PT","Part-time employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,13.5731199864195,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","PT","Part-time employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,13.5365850310561,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","PT","Part-time employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,13.5743005043671,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","PT","Part-time employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,13.6646304654805,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","TED","Total declared employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,28.66461806296,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","TED","Total declared employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,28.627293862151,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","TED","Total declared employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,28.6010049255593,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","TED","Total declared employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,27.8553423029722,,
"AUS","Australia","MW","All persons","1524","15 to 24","DE","Dependent employment","TED","Total declared employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,27.6314770091306,,
"AUS","Australia","MW","All persons","1524","15 to 24","TE","Total employment","FT","Full-time employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,40.4164008503022,,
"AUS","Australia","MW","All persons","1524","15 to 24","TE","Total employment","FT","Full-time employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,40.4280441374359,,
"AUS","Australia","MW","All persons","1524","15 to 24","TE","Total employment","FT","Full-time employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,40.4801974508558,,
"AUS","Australia","MW","All persons","1524","15 to 24","TE","Total employment","FT","Full-time employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,40.3702297748171,,
"AUS","Australia","MW","All persons","1524","15 to 24","TE","Total employment","FT","Full-time employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,40.0584532943977,,
"AUS","Australia","MW","All persons","1524","15 to 24","TE","Total employment","PT","Part-time employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,13.5282820031377,,
"AUS","Australia","MW","All persons","1524","15 to 24","TE","Total employment","PT","Part-time employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,13.533988529041,,
