COUNTRY	Country	SEX	Sex	AGE	Age	EMPSTAT	Employment status	JOBTYPE	Job type	TIME	Time	Value
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2010	2010	40.27807172
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2011	2011	40.28895672
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2012	2012	40.3711241
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2013	2013	40.2329541
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2014	2014	39.90271627
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2010	2010	13.57377633
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2011	2011	13.57311999
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2012	2012	13.53658503
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2013	2013	13.5743005
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2014	2014	13.66463047
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2010	2010	28.66461806
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2011	2011	28.62729386
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2012	2012	28.60100493
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2013	2013	27.8553423
AUS	Australia	MW	All persons	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2014	2014	27.63147701
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	FT	Full-time employment	2010	2010	40.41640085
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	FT	Full-time employment	2011	2011	40.42804414
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	FT	Full-time employment	2012	2012	40.48019745
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	FT	Full-time employment	2013	2013	40.37022977
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	FT	Full-time employment	2014	2014	40.05845329
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	PT	Part-time employment	2010	2010	13.528282
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	PT	Part-time employment	2011	2011	13.53398853
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	PT	Part-time employment	2012	2012	13.49880801
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	PT	Part-time employment	2013	2013	13.5451235
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	PT	Part-time employment	2014	2014	13.62601055
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	TED	Total declared employment	2010	2010	28.76360211
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	TED	Total declared employment	2011	2011	28.71176391
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	TED	Total declared employment	2012	2012	28.66944807
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	TED	Total declared employment	2013	2013	27.97158461
AUS	Australia	MW	All persons	1524	15 to 24	TE	Total employment	TED	Total declared employment	2014	2014	27.74212904
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2010	2010	42.71789145
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2011	2011	42.70901836
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2012	2012	42.75001009
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2013	2013	42.65387314
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2014	2014	42.48112993
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2010	2010	18.19356812
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2011	2011	18.25033015
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2012	2012	18.39935655
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2013	2013	18.43125248
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2014	2014	18.41415759
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2010	2010	38.18021095
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2011	2011	38.2424761
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2012	2012	38.38341527
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2013	2013	38.31639308
AUS	Australia	MW	All persons	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2014	2014	38.14302352
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	FT	Full-time employment	2010	2010	43.24571852
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	FT	Full-time employment	2011	2011	43.20788013
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	FT	Full-time employment	2012	2012	43.17558377
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	FT	Full-time employment	2013	2013	43.04830898
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	FT	Full-time employment	2014	2014	42.85864968
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	PT	Part-time employment	2010	2010	17.76315783
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	PT	Part-time employment	2011	2011	17.85133076
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	PT	Part-time employment	2012	2012	17.947939
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	PT	Part-time employment	2013	2013	18.03761498
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	PT	Part-time employment	2014	2014	18.0421715
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	TED	Total declared employment	2010	2010	38.35111945
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	TED	Total declared employment	2011	2011	38.39132246
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	TED	Total declared employment	2012	2012	38.41654772
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	TED	Total declared employment	2013	2013	38.36695228
AUS	Australia	MW	All persons	2554	25 to 54	TE	Total employment	TED	Total declared employment	2014	2014	38.17432012
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2010	2010	42.6448915
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2011	2011	42.75074427
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2012	2012	42.91741219
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2013	2013	42.76351998
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2014	2014	42.36119766
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2010	2010	17.39796774
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2011	2011	17.50580659
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2012	2012	17.79551504
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2013	2013	17.80436892
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2014	2014	17.9494634
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2010	2010	36.69477605
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2011	2011	36.87792538
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2012	2012	37.15992096
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2013	2013	37.05548025
AUS	Australia	MW	All persons	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2014	2014	36.63758713
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	FT	Full-time employment	2010	2010	43.56876734
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	FT	Full-time employment	2011	2011	43.42638942
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	FT	Full-time employment	2012	2012	43.56848564
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	FT	Full-time employment	2013	2013	43.54660105
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	FT	Full-time employment	2014	2014	43.08524585
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	PT	Part-time employment	2010	2010	16.82096223
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	PT	Part-time employment	2011	2011	16.84043101
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	PT	Part-time employment	2012	2012	17.24479805
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	PT	Part-time employment	2013	2013	17.22151353
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	PT	Part-time employment	2014	2014	17.38855033
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	TED	Total declared employment	2010	2010	36.85015172
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	TED	Total declared employment	2011	2011	36.86256543
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	TED	Total declared employment	2012	2012	37.16488912
